industry,subscription_type,country,usage_frequency,login_activity,support_tickets,monthly_spend,payment_history,churn
Healthcare,Pro,UK,12.0,113.0,3,119,Late,0
Education,Pro,UK,40.0,52.0,0,297,Failed,1
Technology,Basic,UK,30.0,114.0,1,49,Failed,0
Travel,Pro,USA,8.0,98.0,2,300,Late,0
Travel,Enterprise,Sri lanka,19.0,5.0,1,230,Late,0
Technology,Enterprise,UK,23.0,27.0,0,45,Failed,0
Education,Enterprise,Germany,27.0,62.0,1,432,On_time,0
Travel,Basic,USA,39.0,60.0,3,298,Late,0
Education,Enterprise,Australia,7.0,26.0,1,125,On_time,0
Education,Basic,USA,28.0,117.0,2,288,Failed,0
Healthcare,Basic,USA,28.0,33.0,1,37,On_time,0
Finance,Pro,India,30.0,26.0,3,441,Late,0
Retail,Basic,Sri lanka,2.0,113.0,2,165,Failed,1
Technology,Pro,UK,27.0,41.0,1,266,Failed,0
Technology,Pro,UK,29.0,58.0,4,297,On_time,0
Education,Basic,Australia,23.0,48.0,1,160,On_time,0
Healthcare,Enterprise,UK,21.0,105.0,1,28,On_time,0
Finance,Pro,USA,15.0,52.0,3,249,On_time,0
Healthcare,Basic,Australia,3.0,106.0,3,342,Late,1
Education,Enterprise,Germany,18.0,,3,471,Failed,0
Healthcare,Basic,Australia,5.0,1.0,3,149,Late,0
Healthcare,Basic,UK,37.0,45.0,1,425,Failed,0
Finance,Enterprise,India,36.0,11.0,2,162,Late,0
Travel,Pro,USA,31.0,42.0,2,179,Failed,1
Education,Enterprise,Germany,2.0,24.0,0,185,Late,0
Technology,Pro,USA,31.0,115.0,4,456,On_time,0
Travel,Basic,India,3.0,118.0,1,106,On_time,0
Healthcare,Enterprise,Australia,21.0,65.0,3,375,On_time,0
Technology,Enterprise,Australia,28.0,45.0,3,250,Late,0
Healthcare,Enterprise,Sri lanka,12.0,,3,286,Late,0
Finance,Basic,India,5.0,99.0,3,193,On_time,0
Travel,Enterprise,UK,37.0,115.0,1,362,Failed,0
Retail,Enterprise,USA,2.0,104.0,4,448,Late,0
Travel,Pro,Australia,21.0,93.0,3,140,Late,0
Travel,Enterprise,India,32.0,26.0,1,244,On_time,0
Education,Pro,Australia,1.0,51.0,2,332,Late,0
Travel,Enterprise,India,35.0,76.0,2,204,Late,0
Technology,Enterprise,USA,3.0,53.0,3,235,Late,0
Healthcare,Basic,Germany,20.0,16.0,0,351,Failed,0
Retail,Pro,UK,,,0,108,Failed,1
Retail,Enterprise,USA,32.0,88.0,0,191,On_time,0
Technology,Pro,Australia,9.0,,1,96,On_time,0
Finance,Pro,India,32.0,114.0,1,344,Failed,1
Healthcare,Basic,India,22.0,80.0,2,282,On_time,0
Technology,Pro,USA,4.0,90.0,0,330,Failed,0
Healthcare,Basic,India,16.0,99.0,1,170,On_time,0
Education,Enterprise,UK,14.0,79.0,5,295,Failed,0
Healthcare,Pro,USA,30.0,19.0,3,308,Late,0
Technology,Basic,India,39.0,104.0,1,208,Failed,1
Technology,Enterprise,Sri lanka,17.0,19.0,2,103,Late,0
Travel,Enterprise,Australia,25.0,68.0,2,419,On_time,0
Healthcare,Basic,UK,26.0,61.0,2,291,Late,0
Technology,Enterprise,Sri lanka,35.0,16.0,2,197,Failed,0
Retail,Pro,USA,36.0,112.0,1,491,Late,0
Healthcare,Basic,Australia,27.0,20.0,1,456,Late,0
Healthcare,Enterprise,India,38.0,3.0,2,120,Failed,1
Education,Basic,UK,6.0,45.0,1,45,Failed,1
Education,Pro,Germany,14.0,54.0,2,334,Late,0
Education,Enterprise,Sri lanka,31.0,29.0,0,292,Failed,0
Healthcare,Pro,Australia,14.0,104.0,1,43,Late,0
Travel,Basic,Sri lanka,27.0,25.0,1,385,Late,0
Finance,Enterprise,USA,18.0,37.0,3,381,Late,0
Technology,Pro,UK,22.0,83.0,1,254,On_time,0
Education,Enterprise,Australia,11.0,31.0,3,34,On_time,0
Healthcare,Basic,UK,31.0,43.0,3,149,Late,0
Finance,Pro,UK,20.0,15.0,2,78,On_time,0
Travel,Pro,USA,26.0,115.0,2,432,Late,0
Education,Pro,Sri lanka,11.0,101.0,1,417,On_time,0
Technology,Pro,Australia,10.0,99.0,2,342,Failed,0
Education,Enterprise,India,39.0,78.0,2,413,Failed,1
Healthcare,Basic,Australia,15.0,83.0,3,170,Failed,0
Finance,Enterprise,USA,13.0,69.0,1,28,Failed,0
Finance,Pro,Germany,35.0,101.0,2,260,Late,0
Technology,Pro,Sri lanka,17.0,43.0,2,415,Late,0
Finance,Pro,Australia,36.0,12.0,1,426,On_time,0
Technology,Basic,USA,29.0,81.0,1,161,Failed,0
Technology,Basic,Germany,30.0,81.0,0,345,Late,0
Healthcare,Enterprise,Germany,24.0,6.0,1,395,Late,1
Healthcare,Basic,UK,24.0,102.0,3,340,On_time,0
Technology,Pro,Australia,18.0,44.0,0,382,On_time,0
Technology,Enterprise,Sri lanka,28.0,104.0,4,112,On_time,0
Retail,Pro,USA,28.0,82.0,4,407,On_time,0
Technology,Basic,Germany,27.0,100.0,2,122,Late,0
Healthcare,Pro,India,26.0,57.0,2,442,Late,0
Education,Enterprise,Sri lanka,39.0,92.0,0,72,On_time,0
Healthcare,Basic,Germany,38.0,4.0,0,383,Failed,0
Retail,Enterprise,USA,25.0,7.0,1,383,Failed,1
Retail,Pro,USA,31.0,111.0,3,342,On_time,0
Travel,Pro,India,23.0,7.0,2,422,Late,0
Healthcare,Enterprise,UK,9.0,,1,192,On_time,0
Education,Basic,USA,25.0,116.0,0,300,On_time,0
Healthcare,Enterprise,Sri lanka,19.0,39.0,1,123,Late,0
Finance,Basic,Australia,10.0,63.0,1,303,On_time,0
Retail,Basic,India,21.0,111.0,4,485,Failed,0
Education,Enterprise,Germany,11.0,48.0,2,443,Late,0
Technology,Enterprise,India,29.0,94.0,5,265,Late,0
Healthcare,Pro,India,33.0,111.0,4,308,Failed,0
Travel,Enterprise,USA,40.0,32.0,4,438,Late,0
Retail,Enterprise,Germany,7.0,79.0,3,458,Failed,0
Finance,Pro,Sri lanka,24.0,98.0,2,254,Failed,0
Healthcare,Pro,Sri lanka,35.0,49.0,1,440,Failed,1
Education,Enterprise,USA,27.0,92.0,3,194,Late,0
Healthcare,Pro,Australia,16.0,93.0,3,360,Late,0
Finance,Basic,Germany,5.0,10.0,3,258,On_time,0
Retail,Enterprise,India,8.0,10.0,3,196,On_time,0
Travel,Enterprise,Germany,25.0,11.0,1,72,Late,0
Education,Basic,UK,26.0,78.0,1,75,Late,0
Healthcare,Pro,Australia,4.0,30.0,1,199,Failed,1
Travel,Basic,USA,31.0,102.0,2,41,Late,0
Retail,Pro,USA,29.0,75.0,3,26,On_time,0
Healthcare,Pro,USA,39.0,106.0,4,394,Late,0
Retail,Pro,India,36.0,89.0,1,160,On_time,0
Finance,Enterprise,USA,31.0,93.0,2,251,On_time,0
Retail,Enterprise,Germany,15.0,33.0,5,352,Late,0
Technology,Enterprise,UK,21.0,109.0,5,118,Failed,0
Travel,Basic,Sri lanka,39.0,71.0,3,105,On_time,0
Healthcare,Basic,Germany,8.0,81.0,2,223,On_time,0
Finance,Enterprise,Australia,27.0,112.0,3,273,Failed,1
Education,Pro,UK,29.0,114.0,1,38,On_time,0
Education,Enterprise,Australia,8.0,38.0,1,119,On_time,0
Technology,Pro,UK,26.0,31.0,2,92,Failed,0
Travel,Basic,Germany,39.0,42.0,4,255,Failed,1
Technology,Basic,India,35.0,98.0,1,337,Late,0
Retail,Enterprise,India,5.0,82.0,3,434,On_time,0
Healthcare,Basic,Australia,10.0,56.0,1,89,Late,0
Technology,Basic,India,20.0,5.0,5,295,Failed,1
Travel,Pro,UK,14.0,39.0,2,180,Failed,0
Travel,Pro,USA,31.0,54.0,1,397,On_time,0
Education,Enterprise,India,23.0,46.0,1,208,On_time,0
Healthcare,Enterprise,UK,3.0,38.0,6,64,On_time,0
Travel,Basic,India,27.0,59.0,3,286,Failed,1
Retail,Basic,India,38.0,70.0,4,457,Failed,0
Technology,Basic,Germany,12.0,85.0,3,322,Failed,1
Healthcare,Pro,Germany,6.0,16.0,3,196,On_time,0
Retail,Enterprise,India,12.0,109.0,1,148,Late,0
Healthcare,Enterprise,Sri lanka,36.0,21.0,0,43,Late,0
Technology,Basic,UK,25.0,7.0,2,244,Failed,1
Healthcare,Pro,Germany,7.0,24.0,0,31,On_time,0
Retail,Basic,USA,35.0,63.0,2,102,Late,0
Travel,Enterprise,USA,37.0,39.0,2,350,Failed,0
Technology,Pro,India,,93.0,4,378,Failed,0
Finance,Basic,UK,4.0,75.0,6,411,Late,0
Healthcare,Pro,India,13.0,101.0,3,90,On_time,0
Healthcare,Pro,UK,39.0,83.0,4,132,Failed,0
Travel,Enterprise,Australia,37.0,61.0,1,172,On_time,0
Education,Basic,USA,33.0,65.0,1,111,On_time,0
Travel,Enterprise,Sri lanka,11.0,97.0,2,214,Late,0
Healthcare,Enterprise,Sri lanka,18.0,105.0,2,112,Failed,0
Retail,Pro,UK,36.0,101.0,3,361,Failed,1
Technology,Basic,India,5.0,4.0,3,108,Failed,0
Healthcare,Basic,Sri lanka,26.0,55.0,2,356,Failed,1
Retail,Enterprise,Sri lanka,21.0,46.0,3,363,On_time,0
Travel,Enterprise,Australia,3.0,89.0,4,132,Failed,1
Travel,Enterprise,Germany,27.0,13.0,0,237,Late,0
Healthcare,Basic,India,13.0,27.0,1,342,Failed,1
Education,Enterprise,USA,30.0,99.0,1,175,On_time,0
Retail,Basic,USA,29.0,43.0,3,222,Failed,0
Healthcare,Enterprise,India,34.0,74.0,4,174,Late,0
Technology,Basic,India,37.0,6.0,4,475,Late,0
Healthcare,Enterprise,USA,24.0,48.0,5,441,Failed,0
Technology,Pro,USA,11.0,12.0,3,308,On_time,0
Healthcare,Pro,UK,13.0,18.0,1,220,Failed,0
Education,Basic,Sri lanka,31.0,55.0,1,405,Failed,0
Finance,Pro,India,38.0,15.0,3,290,On_time,0
Travel,Basic,USA,28.0,10.0,2,418,On_time,0
Travel,Enterprise,USA,18.0,82.0,1,379,Late,0
Technology,Pro,Sri lanka,20.0,98.0,1,113,Late,0
Finance,Pro,Sri lanka,5.0,11.0,3,80,Late,0
Finance,Pro,Sri lanka,23.0,,3,305,On_time,0
Travel,Enterprise,Australia,33.0,24.0,2,370,Late,0
Travel,Basic,India,13.0,80.0,2,355,Late,0
Finance,Basic,USA,38.0,110.0,2,48,Late,0
Healthcare,Enterprise,UK,37.0,81.0,0,314,Late,0
Technology,Pro,Sri lanka,28.0,29.0,1,206,On_time,0
Healthcare,Basic,Australia,14.0,76.0,5,141,On_time,0
Retail,Enterprise,Sri lanka,2.0,81.0,3,309,On_time,0
Technology,Enterprise,Australia,1.0,73.0,1,399,Failed,1
Finance,Pro,India,40.0,45.0,0,124,Failed,0
Retail,Basic,Australia,,18.0,3,145,Failed,0
Technology,Pro,Sri lanka,7.0,80.0,2,230,On_time,0
Healthcare,Enterprise,UK,37.0,81.0,2,400,On_time,0
Education,Pro,Australia,33.0,66.0,2,221,Failed,0
Education,Basic,USA,24.0,4.0,2,272,Late,0
Technology,Basic,Australia,24.0,66.0,1,220,Late,0
Technology,Basic,Australia,28.0,35.0,4,290,Failed,0
Healthcare,Basic,Australia,35.0,57.0,1,339,Failed,1
Technology,Enterprise,Germany,23.0,71.0,2,409,Failed,0
Technology,Enterprise,Germany,34.0,63.0,1,244,On_time,0
Finance,Pro,Germany,6.0,37.0,4,354,On_time,0
Travel,Enterprise,Sri lanka,8.0,26.0,2,227,Failed,1
Healthcare,Enterprise,Australia,22.0,76.0,1,445,On_time,0
Technology,Pro,Germany,37.0,29.0,2,276,On_time,0
Finance,Pro,USA,39.0,21.0,2,157,Late,0
Travel,Enterprise,India,23.0,105.0,4,359,Late,0
Finance,Pro,Australia,1.0,77.0,2,242,Failed,1
Retail,Enterprise,India,23.0,112.0,1,373,On_time,0
Technology,Basic,UK,13.0,14.0,0,317,On_time,0
Technology,Enterprise,USA,32.0,99.0,6,217,On_time,0
Education,Pro,Australia,30.0,95.0,0,39,On_time,0
Education,Basic,India,9.0,2.0,0,151,Late,0
Healthcare,Pro,Australia,36.0,54.0,7,369,On_time,1
Travel,Basic,UK,2.0,32.0,2,451,Late,1
Education,Enterprise,Australia,13.0,15.0,3,185,Late,0
Healthcare,Pro,USA,,117.0,2,197,Late,0
Travel,Enterprise,USA,10.0,98.0,0,220,On_time,0
Retail,Basic,USA,31.0,42.0,2,215,Late,0
Retail,Enterprise,Germany,26.0,111.0,3,338,Late,0
Finance,Enterprise,USA,29.0,75.0,4,364,On_time,0
Finance,Pro,Sri lanka,19.0,31.0,0,188,Late,0
Education,Enterprise,India,36.0,23.0,2,92,Late,0
Technology,Pro,UK,28.0,77.0,1,104,Late,0
Education,Pro,UK,32.0,54.0,1,131,On_time,0
Finance,Pro,USA,2.0,102.0,2,124,Late,0
Technology,Basic,Sri lanka,1.0,105.0,0,151,Failed,1
Finance,Basic,India,35.0,10.0,0,289,On_time,0
Healthcare,Pro,UK,38.0,12.0,1,469,Late,0
Travel,Enterprise,India,11.0,41.0,5,189,On_time,0
Healthcare,Enterprise,UK,18.0,30.0,4,255,Late,0
Finance,Basic,Australia,22.0,,2,369,Failed,0
Healthcare,Pro,India,21.0,76.0,2,194,On_time,0
Travel,Pro,Sri lanka,11.0,52.0,3,447,Late,0
Finance,Pro,USA,27.0,85.0,4,348,Late,0
Retail,Basic,India,13.0,48.0,2,495,Late,0
Finance,Basic,India,19.0,88.0,3,285,Failed,0
Travel,Enterprise,UK,22.0,77.0,3,371,On_time,0
Education,Pro,Germany,33.0,17.0,1,465,On_time,0
Finance,Pro,Germany,16.0,66.0,2,144,Late,0
Retail,Basic,Germany,12.0,84.0,2,82,Failed,0
Travel,Enterprise,Australia,33.0,30.0,3,225,On_time,0
Finance,Pro,UK,30.0,97.0,2,253,On_time,0
Retail,Enterprise,Sri lanka,38.0,46.0,2,242,On_time,0
Travel,Enterprise,India,25.0,52.0,1,85,On_time,0
Travel,Basic,Australia,22.0,20.0,2,332,Failed,0
Education,Basic,India,23.0,5.0,2,195,On_time,0
Retail,Basic,USA,15.0,65.0,1,289,Failed,0
Healthcare,Enterprise,Australia,36.0,82.0,2,130,Failed,0
Healthcare,Basic,Germany,1.0,91.0,2,102,Late,0
Education,Basic,India,29.0,15.0,1,95,On_time,0
Healthcare,Pro,Australia,30.0,20.0,1,60,Late,0
Retail,Pro,USA,39.0,26.0,1,488,Failed,0
Technology,Pro,Sri lanka,16.0,9.0,1,339,Late,0
Finance,Enterprise,Germany,17.0,38.0,4,226,Late,0
Technology,Pro,Sri lanka,4.0,33.0,0,262,Failed,1
Finance,Pro,Germany,10.0,100.0,3,421,Failed,0
Retail,Basic,India,30.0,108.0,1,44,On_time,0
Retail,Basic,UK,12.0,21.0,2,209,Late,0
Finance,Basic,India,25.0,99.0,1,276,Failed,1
Healthcare,Pro,India,17.0,25.0,2,166,On_time,0
Technology,Enterprise,India,23.0,9.0,1,308,On_time,1
Education,Enterprise,Sri lanka,2.0,14.0,2,226,Failed,0
Travel,Basic,India,26.0,47.0,2,202,Failed,0
Education,Enterprise,UK,15.0,83.0,1,93,Failed,0
Education,Basic,Germany,35.0,87.0,2,466,On_time,0
Finance,Enterprise,UK,29.0,65.0,0,82,Failed,0
Education,Pro,Australia,32.0,97.0,3,226,Failed,1
Technology,Basic,UK,13.0,66.0,1,107,Late,0
Healthcare,Pro,Germany,11.0,59.0,1,430,Failed,0
Healthcare,Pro,Australia,9.0,52.0,2,157,Failed,0
Retail,Enterprise,UK,37.0,93.0,0,313,Failed,1
Healthcare,Basic,USA,39.0,113.0,4,354,On_time,0
Finance,Enterprise,Australia,31.0,7.0,0,285,On_time,0
Travel,Enterprise,UK,10.0,112.0,3,318,On_time,0
Retail,Basic,Australia,15.0,85.0,3,381,On_time,0
Retail,Enterprise,India,28.0,23.0,1,319,On_time,0
Education,Enterprise,USA,22.0,24.0,1,180,Late,0
Healthcare,Pro,Germany,16.0,22.0,1,382,Late,0
Healthcare,Pro,Sri lanka,18.0,71.0,4,254,On_time,0
Retail,Enterprise,Australia,9.0,31.0,1,150,Failed,0
Healthcare,Basic,UK,35.0,97.0,2,396,Late,0
Travel,Pro,USA,35.0,15.0,2,372,Failed,0
Finance,Enterprise,Sri lanka,32.0,52.0,2,211,Failed,0
Healthcare,Pro,UK,15.0,78.0,2,92,On_time,0
Finance,Enterprise,Germany,37.0,84.0,3,92,On_time,0
Technology,Enterprise,Germany,32.0,53.0,2,363,On_time,0
Finance,Basic,India,13.0,43.0,3,45,Failed,1
Travel,Enterprise,India,28.0,110.0,2,292,On_time,0
Travel,Basic,USA,4.0,44.0,0,142,Late,0
Retail,Basic,Australia,29.0,68.0,2,108,On_time,0
Retail,Pro,India,6.0,26.0,1,165,Late,0
Travel,Pro,Sri lanka,1.0,61.0,3,290,Late,0
Finance,Pro,UK,8.0,38.0,2,157,On_time,0
Healthcare,Enterprise,Sri lanka,38.0,78.0,2,242,Late,0
Education,Enterprise,UK,7.0,83.0,3,67,Late,0
Technology,Enterprise,Sri lanka,40.0,6.0,1,222,Failed,0
Healthcare,Basic,India,5.0,57.0,0,346,Late,0
Travel,Pro,Australia,27.0,47.0,2,384,Late,0
Travel,Basic,Germany,26.0,86.0,2,132,Late,0
Finance,Pro,Australia,18.0,43.0,0,368,Failed,0
Technology,Basic,Germany,39.0,10.0,2,406,Late,0
Finance,Pro,India,14.0,58.0,3,375,On_time,0
Education,Basic,Australia,24.0,27.0,1,186,On_time,0
Healthcare,Enterprise,USA,15.0,26.0,1,268,On_time,0
Healthcare,Basic,UK,1.0,107.0,2,81,Late,1
Retail,Enterprise,Australia,17.0,36.0,6,233,On_time,0
Education,Pro,UK,31.0,86.0,0,366,On_time,0
Travel,Pro,USA,14.0,47.0,1,307,On_time,0
Technology,Pro,Germany,34.0,64.0,0,67,Failed,1
Education,Pro,USA,10.0,114.0,5,480,Failed,0
Technology,Enterprise,Germany,28.0,33.0,6,235,Failed,1
Healthcare,Enterprise,USA,6.0,89.0,0,276,Late,0
Finance,Pro,UK,32.0,106.0,2,432,Late,0
Education,Pro,Germany,2.0,73.0,0,463,Failed,1
Finance,Enterprise,Australia,36.0,61.0,1,423,On_time,0
Travel,Enterprise,USA,3.0,43.0,2,65,Failed,1
Technology,Basic,USA,15.0,33.0,1,249,On_time,0
Retail,Pro,Australia,24.0,64.0,0,113,Late,0
Technology,Pro,India,34.0,65.0,2,401,Late,0
Finance,Pro,USA,25.0,92.0,1,46,On_time,0
Travel,Pro,Australia,22.0,74.0,2,434,Failed,1
Travel,Pro,UK,32.0,32.0,4,154,On_time,0
Travel,Enterprise,Germany,4.0,91.0,2,487,On_time,0
Technology,Pro,USA,36.0,54.0,3,380,Failed,1
Retail,Enterprise,UK,38.0,22.0,4,355,On_time,0
Travel,Pro,USA,16.0,85.0,1,141,Late,0
Finance,Pro,USA,17.0,45.0,2,175,On_time,0
Education,Enterprise,Germany,1.0,44.0,3,464,Failed,1
Education,Enterprise,USA,9.0,77.0,1,398,On_time,0
Education,Enterprise,India,2.0,106.0,1,189,On_time,1
Education,Enterprise,UK,13.0,57.0,1,177,Failed,1
Healthcare,Enterprise,Australia,13.0,19.0,5,261,Late,0
Retail,Basic,Australia,11.0,31.0,0,99,Failed,1
Retail,Enterprise,Germany,11.0,33.0,2,195,On_time,0
Education,Basic,Sri lanka,14.0,92.0,2,493,Late,0
Education,Enterprise,UK,6.0,107.0,1,114,Late,0
Education,Pro,Sri lanka,12.0,23.0,3,278,On_time,0
Technology,Basic,Sri lanka,24.0,55.0,0,442,On_time,0
Education,Enterprise,India,26.0,68.0,1,40,Late,0
Healthcare,Basic,Germany,19.0,21.0,3,179,On_time,0
Education,Pro,Germany,10.0,64.0,2,456,On_time,0
Technology,Basic,Sri lanka,4.0,79.0,0,470,Failed,1
Healthcare,Enterprise,Sri lanka,10.0,47.0,2,339,On_time,0
Finance,Pro,Australia,31.0,,0,150,On_time,0
Travel,Enterprise,Germany,3.0,37.0,1,119,On_time,1
Finance,Enterprise,Sri lanka,29.0,90.0,0,289,Late,0
Healthcare,Enterprise,India,27.0,33.0,2,170,Late,0
Education,Pro,UK,4.0,21.0,3,313,Failed,0
Technology,Enterprise,Germany,24.0,11.0,4,166,Late,0
Finance,Pro,Germany,22.0,78.0,1,63,Late,0
Finance,Enterprise,Sri lanka,16.0,97.0,3,436,Failed,0
Finance,Pro,USA,33.0,29.0,1,50,Failed,0
Education,Enterprise,Germany,25.0,112.0,2,93,On_time,0
Technology,Pro,USA,31.0,,2,431,Late,0
Finance,Enterprise,Germany,19.0,87.0,3,139,On_time,0
Education,Pro,Australia,3.0,61.0,1,489,Failed,1
Finance,Basic,Australia,23.0,30.0,1,328,Failed,1
Travel,Pro,Australia,7.0,97.0,2,455,Failed,1
Technology,Enterprise,USA,4.0,34.0,3,404,On_time,0
Healthcare,Enterprise,India,4.0,39.0,5,402,Late,1
Retail,Enterprise,Germany,26.0,87.0,2,340,Late,0
Technology,Enterprise,India,9.0,3.0,5,245,Late,0
Finance,Basic,UK,33.0,114.0,2,146,Failed,0
Travel,Pro,Sri lanka,21.0,19.0,1,436,Failed,0
Finance,Pro,USA,32.0,64.0,3,28,Failed,1
Travel,Pro,USA,25.0,89.0,5,108,On_time,0
Finance,Pro,Sri lanka,38.0,68.0,5,242,Failed,0
Education,Pro,USA,37.0,109.0,2,147,Late,0
Finance,Basic,Germany,26.0,96.0,2,308,On_time,0
Healthcare,Basic,India,31.0,55.0,1,347,Late,0
Education,Basic,UK,32.0,57.0,1,38,Failed,0
Education,Enterprise,UK,20.0,56.0,1,211,Failed,0
Finance,Pro,India,4.0,91.0,4,297,Late,0
Retail,Enterprise,UK,9.0,9.0,0,292,On_time,1
Education,Pro,India,8.0,80.0,2,25,Late,0
Finance,Basic,Sri lanka,5.0,59.0,5,344,Failed,0
Finance,Enterprise,Sri lanka,40.0,83.0,1,52,Late,0
Retail,Pro,India,18.0,57.0,5,387,Failed,0
Travel,Pro,India,25.0,32.0,1,327,On_time,0
Education,Basic,Sri lanka,29.0,16.0,0,248,On_time,0
Finance,Enterprise,India,27.0,89.0,1,287,On_time,0
Education,Basic,Australia,3.0,99.0,2,412,Late,0
Travel,Pro,India,18.0,50.0,0,366,Failed,0
Technology,Enterprise,UK,36.0,45.0,3,42,Failed,0
Education,Basic,India,39.0,94.0,0,464,On_time,0
Education,Pro,India,23.0,27.0,0,492,Late,0
Education,Pro,Germany,13.0,16.0,0,202,On_time,0
Retail,Pro,USA,37.0,61.0,2,68,On_time,0
Technology,Enterprise,Sri lanka,9.0,52.0,1,264,Late,0
Technology,Enterprise,USA,22.0,43.0,5,398,On_time,0
Healthcare,Pro,India,7.0,87.0,3,108,On_time,0
Healthcare,Basic,Sri lanka,19.0,80.0,4,66,Late,0
Finance,Basic,Australia,8.0,43.0,4,276,On_time,0
Finance,Pro,India,23.0,104.0,4,378,Failed,1
Retail,Basic,USA,18.0,75.0,1,315,Late,0
Travel,Basic,UK,1.0,29.0,0,396,Failed,1
Technology,Enterprise,Germany,31.0,19.0,2,254,Late,0
Education,Enterprise,USA,26.0,80.0,1,180,Late,0
Technology,Basic,Germany,5.0,101.0,0,106,Failed,0
Travel,Basic,India,14.0,104.0,0,358,Late,0
Finance,Basic,India,4.0,94.0,2,225,Late,0
Education,Basic,USA,,112.0,0,298,Late,0
Technology,Basic,USA,27.0,70.0,5,41,Failed,0
Finance,Pro,India,29.0,66.0,1,94,Late,0
Finance,Enterprise,Sri lanka,17.0,55.0,2,350,Late,0
Retail,Basic,India,8.0,9.0,1,345,Late,0
Education,Basic,Sri lanka,21.0,90.0,2,131,On_time,0
Finance,Pro,UK,37.0,56.0,2,444,Late,0
Education,Enterprise,Sri lanka,2.0,25.0,0,208,Late,0
Retail,Basic,USA,2.0,42.0,1,156,Failed,1
Healthcare,Pro,Australia,36.0,105.0,5,357,Late,0
Education,Pro,UK,16.0,15.0,0,288,Late,0
Healthcare,Enterprise,UK,7.0,17.0,4,457,Late,0
Technology,Enterprise,Germany,29.0,22.0,1,269,On_time,0
Healthcare,Enterprise,UK,35.0,119.0,5,247,Failed,0
Technology,Pro,Germany,25.0,44.0,0,59,Late,0
Travel,Enterprise,Australia,7.0,46.0,3,398,Late,0
Technology,Enterprise,Sri lanka,19.0,60.0,3,303,Late,0
Finance,Enterprise,India,6.0,70.0,1,273,Late,0
Education,Basic,Germany,33.0,16.0,3,344,Late,0
Education,Enterprise,Australia,37.0,31.0,3,396,Late,0
Education,Basic,UK,39.0,113.0,3,78,Late,0
Travel,Pro,India,2.0,97.0,1,210,On_time,0
Healthcare,Pro,Australia,32.0,,2,264,Failed,1
Travel,Enterprise,USA,35.0,94.0,2,343,Late,0
Healthcare,Enterprise,USA,25.0,48.0,1,407,Failed,0
Education,Enterprise,Australia,38.0,117.0,1,248,On_time,0
Education,Enterprise,UK,22.0,62.0,3,32,On_time,0
Retail,Basic,USA,35.0,43.0,4,410,Failed,0
Education,Enterprise,Sri lanka,36.0,41.0,3,254,Failed,1
Education,Enterprise,Sri lanka,37.0,66.0,4,242,Late,0
Education,Basic,Sri lanka,16.0,106.0,0,447,Failed,0
Education,Enterprise,Australia,6.0,92.0,2,146,Failed,0
Travel,Enterprise,Australia,9.0,7.0,3,420,On_time,1
Education,Pro,UK,2.0,79.0,3,263,Failed,0
Education,Pro,Australia,6.0,38.0,1,235,Late,0
Education,Enterprise,Australia,28.0,99.0,0,438,Late,0
Technology,Pro,India,16.0,79.0,1,387,Failed,0
Technology,Basic,Australia,27.0,,0,192,Failed,0
Finance,Basic,Australia,35.0,28.0,4,116,On_time,0
Finance,Basic,Germany,19.0,55.0,2,368,Failed,0
Education,Enterprise,UK,24.0,80.0,4,214,On_time,0
Retail,Enterprise,UK,15.0,1.0,4,368,Late,0
Education,Enterprise,India,38.0,97.0,2,394,Failed,0
Travel,Basic,Australia,17.0,36.0,1,264,On_time,0
Technology,Enterprise,UK,40.0,97.0,0,375,Late,0
Finance,Pro,USA,5.0,87.0,2,458,Failed,0
Education,Basic,UK,19.0,77.0,2,170,Failed,0
Retail,Enterprise,Sri lanka,10.0,54.0,2,255,Failed,0
Travel,Basic,Germany,,44.0,4,482,Late,0
Finance,Basic,India,38.0,3.0,5,240,On_time,0
Healthcare,Enterprise,USA,24.0,116.0,2,74,Late,0
Technology,Pro,India,29.0,30.0,2,241,On_time,0
Finance,Enterprise,USA,30.0,3.0,2,396,Late,1
Travel,Basic,Sri lanka,,117.0,0,96,Failed,1
Finance,Pro,Sri lanka,15.0,54.0,1,110,Late,0
Travel,Pro,Germany,27.0,8.0,2,368,Late,1
Healthcare,Pro,Sri lanka,35.0,61.0,3,223,Failed,1
Retail,Basic,India,11.0,2.0,3,362,On_time,0
Education,Basic,India,20.0,25.0,2,173,Late,0
Healthcare,Basic,UK,23.0,56.0,0,295,On_time,0
Healthcare,Enterprise,Germany,2.0,88.0,1,97,Failed,1
Travel,Basic,Germany,4.0,113.0,2,219,Late,1
Travel,Enterprise,USA,2.0,6.0,3,150,On_time,0
Retail,Basic,Germany,32.0,20.0,3,359,Failed,1
Education,Pro,Sri lanka,8.0,71.0,3,240,On_time,0
Finance,Enterprise,Australia,25.0,63.0,4,282,Failed,1
Retail,Pro,Australia,17.0,65.0,1,290,On_time,0
Education,Basic,Sri lanka,33.0,62.0,2,95,Late,0
Education,Pro,India,19.0,25.0,4,155,On_time,0
Technology,Enterprise,Germany,4.0,5.0,3,145,Late,1
Healthcare,Basic,UK,21.0,101.0,1,282,Failed,1
Education,Basic,Germany,16.0,17.0,1,94,Failed,1
Retail,Enterprise,USA,34.0,33.0,3,373,On_time,0
